F_MASV,F_MAMH,F_NHHK,F_DIEM4
72929.0,2291.0,20201,3.5
73343.0,900.0,20201,3.5
71493.0,883.0,20201,3.5
70493.0,860.0,20201,4.0
74049.0,809.0,20201,0.0
71507.0,846.0,20201,3.0
74081.0,835.0,20201,1.0
71066.0,4723.0,20201,4.0
73000.0,2434.0,20201,4.0
72854.0,2132.0,20201,4.0
81816.0,3490.0,20201,3.0
78985.0,4579.0,20201,4.0
80773.0,2766.0,20201,3.5
80806.0,2768.0,20201,4.0
80543.0,3490.0,20201,3.0
79016.0,4795.0,20201,4.0
81874.0,4274.0,20201,3.5
80769.0,2766.0,20201,3.5
80558.0,4918.0,20201,4.0
78954.0,4350.0,20201,3.0
78996.0,4628.0,20201,4.0
78955.0,4349.0,20201,1.0
80563.0,4403.0,20201,3.0
78702.0,4908.0,20201,4.0
80662.0,4475.0,20201,4.0
69975.0,4165.0,20201,4.0
75358.0,1552.0,20201,2.0
75679.0,1436.0,20201,2.0
75558.0,1568.0,20201,3.5
75550.0,1583.0,20201,4.0
65462.0,885.0,20201,3.0
71196.0,4750.0,20201,3.5
67838.0,1553.0,20201,2.5
62439.0,828.0,20201,3.5
57393.0,900.0,20201,1.5
62283.0,3490.0,20201,3.5
62362.0,1018.0,20201,3.0
84275.0,1197.0,20201,2.0
65467.0,850.0,20201,1.5
66224.0,1153.0,20201,3.5
63209.0,298.0,20201,4.0
79883.0,1725.0,20201,3.0
61393.0,3954.0,20201,4.0
63200.0,298.0,20201,3.5
65169.0,802.0,20201,1.0
54465.0,1137.0,20201,0.0
65292.0,440.0,20201,2.5
97190.0,4807.0,20201,4.0
97190.0,4889.0,20201,4.0
74151.0,1650.0,20201,3.0
70233.0,1593.0,20201,3.5
71319.0,1552.0,20201,4.0
84694.0,1687.0,20201,3.0
71990.0,1422.0,20201,2.5
71966.0,4694.0,20201,3.5
71834.0,1407.0,20201,4.0
46321.0,3483.0,20201,3.0
71846.0,1442.0,20201,3.0
73786.0,1354.0,20201,3.0
68496.0,1297.0,20201,3.0
73714.0,1341.0,20201,2.0
68490.0,1349.0,20201,3.5
73689.0,4365.0,20201,3.5
74377.0,1306.0,20201,4.0
68489.0,1354.0,20201,4.0
